ID	CODE	NAME
184	AEX	Air Excursions LLC (1)
185	AF	Compagnie Nat'l Air France
186	AFA	American Flag Airlines Inc.
187	AFE	Air Florida Express
188	AFG	American Flight Group
189	AFQ	Aero B Venezuela C.A.
190	AFS	Arcata Flying Service
191	AGA	Air Cargo America Inc.
192	AGQ	Argo S. A.
193	AHA	Air Alpha
194	AHC	Air Hawaii
195	AHQ	Air National
196	AI	National Aviation Company of India Limited d/b/a Air India
197	AIA	All Island Air
198	AIC	Air Caribbean
199	AIE	Air Express Inc.
200	AIG	Airgo Inc.
201	AIK	Air Ketchum Idaho Inc.
202	AIM	Air Mont. Inc.
203	AIN	Air Indiana
204	AIQ	Norontair
205	AIT	Airways International
206	AIY	Alliance Air
207	AJ	Air Micronesia Inc.
208	AJQ	Aerodynamics Inc.
209	AKQ	Airmark Airlines Inc.
210	AL	Skyway Airlines
211	ALD	Allied Airlines
212	ALE	Air-Lift Associates Inc.
213	ALI	Brandt Air
214	ALK	Air Link Airways
215	ALL	All Seasons Air Pacific
216	ALQ	Alberta Northern Airlines
217	ALS	Air L.A.
218	ALT	Altus Airlines
219	ALU	Aleutian Air
220	ALX	Atlanta Express
221	AM	Aeromexico
222	AMA	North American Airlines Inc.
223	AME	Americair Inc.
224	AMI	American Inter-Island Inc.
225	AMQ	Ameristar Air Cargo
226	AMR	AvAir
227	AMT	American Air Transport
228	ANB	Air Nebraska Inc.
229	ANC	Atlantic Air
230	AND	Southcentral Air Inc.
231	ANI	Dash Air Corporation
232	ANM	Airways Of New Mexico Inc.
233	ANO	Metro Air Northeast Vermont
234	ANT	Air North/Nenana
235	AO	Aviacion Y Comercio S.A.
236	AOI	Trans New York
237	AON	Action Airlines
238	AOQ	Aerovias S.A.
239	AOR	Air New Orleans
240	APE	Air Cape
241	APH	Alpha Air
242	API	Arizona Pacific Inc.
243	APL	Appalachian Flying Service
244	APN	Aspen Airways Inc.
245	APQ	Alas De Transporte International
246	APS	Air Spirit Inc.
247	APY	Air Polynesia Inc.
248	AQQ	Air Charter (Safa)
249	AR	Aerolineas Argentinas
250	ARA	Air Resorts Airlines
251	ARB	Air Caribe International
252	ARD	Airlift International
253	ARI	Arizona Aero Corp.
254	ARM	Airmarc Airlines Inc.
255	ARN	Arnold Aviation
256	ARO	Air Oregon
257	ARP	Airspur Helicopters Inc.
258	ARQ	Aerovias Colombianas Arca
259	ARR	Arrowhead Airways Inc.
260	ARS	Air Sedona
261	ARZ	Arizona Airways
262	AS	Alaska Airlines Inc.
263	ASC	Air South Inc.
264	ASD	Amistad Airlines
265	ASH	Air South
266	ASI	Alpine Air Services Inc.
267	ASN	Air Casino
268	ASP	Asap Air Inc.
269	ASQ	Aerosur (1)
270	ASR	Astor Air
271	AST	Astro Airways
272	ASU	Air South (1)
273	ASW	Sunrise Airlines Inc.
274	AT	Royal Air Maroc
275	ATH	Air Southeast
276	ATN	Air Atlantic Airlines Inc.
277	ATO	Pacific National Airways
278	ATQ	Aero Tranportes Panamenos
279	ATS	Atlantis Airlines Inc.
280	ATT	Aerotransit Inc.
281	ATX	Air Carolina
282	AUX	Austin Express Inc.
283	AV	Aerovias Nacl De Colombia
284	AVA	Air Vectors Airways
285	AVC	Av Center Inc.
286	AVG	Airvantage
287	AVI	Aero Virgin Islands Corp.
288	AVL	Aviation Sales
289	AVQ	Aero Laguna S.A. De C.V.
290	AVR	Air Vermont Inc.
291	AVS	Aviation Services
292	AVZ	Southern Jersey Airways
293	AWA	Air West Airlines
294	AWQ	Aermediterranea S.P.A.
295	AX	Trans States Airlines
296	AXQ	Aeron International Airlines Inc.
297	AY	Finnair Oy
298	AYQ	Aerodan S.A. De C.V.
299	AZ	Compagnia Aerea Italiana
300	AZP	Arizona Pacific Airways
301	AZQ	Anglo Airlines Ltd.
302	B6	JetBlue Airways
303	BA	British Airways Plc
304	BAA	Aero International Airlines
305	BAC	Business Aircraft Corp.
306	BAH	Brennan & Hargreaves Inc.
307	BAK	Bankair Inc.
308	BAN	Bangor International Air
309	BAQ	Aero Rentas De Coahuila S.A. De C.V.
310	BAR	Bard-Air Corp.
311	BAT	West Penn Commuter
312	BAY	Burlington Aeroplane Co.
313	BBQ	Balair Ag
314	BC	Skymark Airlines Inc.
315	BCA	Baja Cortez Airlines
316	BCQ	Bradley Air Services Ltd.
317	BD	British Midland Airways Ltd.
318	BDE	Jet Express
319	BDQ	Aerotaxis De Aguascalientes S.A. De C.V.
320	BE	Braniff International Airlines Inc.
321	BEA	Business Express Airlines
322	BEN	Bennington Aviation Inc.
323	BEQ	Air Belgium
324	BES	Aeroservices Executive
325	BEY	Beyer Aviation
326	BF	Markair Inc.
327	BFG	Million Air
328	BFQ	Buffalo Airways Inc.
329	BG	Biman Bangladesh Airlines
330	BGQ	Airbus Transport Internat'l
331	BHK	Blackhawk Airways Inc.
332	BHO	Bighorn Airways Inc.
333	BHQ	Turks Air Ltd. (1)
334	BIA	Big Island Air
335	BIQ	Servicios Aeronauticos Z S.A. De C.V.
336	BIR	Birchwood Air Service
337	BJQ	Taxirey S.A. De C.V.
338	BLQ	Air Bvi Limited
339	BM	Belize Air International Ltd.
340	BMT	Bremerton Aviation Inc.
341	BN	Britannia Airways GmbH
342	BN (1)	Braniff Inc.
343	BNQ	NetJets Large Aircraft Company L.L.C.
344	BOA	Boise Air Service
345	BOI	Bo-S-Aire Airlines Inc.
346	BOQ	Transp. Aereos Bolivianos
347	BQ	Aeromar C. Por A.
348	BR	Eva Airways Corporation
349	BR (1)	Cal Air International Ltd.
350	BRK	Barken International
351	BRO	Brower Airways Inc.
352	BRW	Barrow Air
353	BTQ	Brasair Transportes Aereos
354	BUH	Business Helicopters
355	BUQ	Wrangler Aviation Inc.
356	BUQ (1)	Blue Bell Inc.
357	BUR	Burlington Airways Inc.
358	BW	Caribbean Airlines Limited
359	BXQ	Spantax S. A.
360	BY	Britannia Airways Ltd.
361	BYA	Bay Air
362	BZQ	Abaco Air, Ltd.
363	C5	Commutair Aka Champlain Enterprises, Inc.
364	C6	Canjet Airlines
365	C8	Cargolux Italia SpA
366	C8 (1)	Chicago Express Airlines
367	CA	Air China
368	CAC	Coleman Air Transport
369	CAF	California Seaboard
370	CAI	Crawford Aviation Inc.
371	CAM	C & M Airlines
372	CAP	Metro Air Northeast N Y
373	CAQ	Challenge Air Luftverkehrs GmbH
374	CAT	Catalina Airlines Inc.
375	CAV	Air Virginia
376	CAZ	CAT Aviation
377	CB	Air One Inc.
378	CBA	Carriba Air Inc.
379	CC	Air Atlanta Icelandic
380	CC (1)	Air Atlanta Inc.
381	CCA	Cityhop
382	CCO	Chester County Aviation
383	CDQ	Kitty Hawk International
384	CEN	Cen-Tex Airlines Inc.
385	CEQ	All Canada Express
386	CET	Century Airlines (Cal)
387	CF	Compan. De Aviacion Faucett
388	CGA	Chicago Airlines
389	CGL	Viking International Airlines Inc.
390	CGO	Chicago Air Taxi
391	CH	Bemidji Airlines
392	CHD	Chandler Flyer
393	CHE	Charter Airlines
394	CHF	Hammonds Commuter Air Serv.
395	CHI	Chitina Air Service
396	CHL	Channel Flying Inc.
397	CHO	Choi Aviation Inc.
398	CHS	Christman Air System
399	CHT	Charter One
400	CI	China Airlines Ltd.
401	CIQ	A/S Conair
402	CIS	Cal Sierra Airlines
403	CJ	Colgan Airways Inc.
404	CK	China Cargo Airline
405	CKI	Inlet Airlines
406	CL	Capitol International Inc.
407	CLB	Columbia Pacific Airlines
408	CLD	Hawaii Pacific Helicopters
409	CLF	California Air Shuttle
410	CLQ	Aero Transcolombiana
411	CM	Compania Panamena (Copa)
412	CMB	Combs Airways Inc.
413	CMD	Command Airways Inc.
414	CMQ	Servicio De Carga Aerea Sa
415	CMR	Commuter Airlines (Ca)
416	CNN	Centennial Airlines
417	CO	Continental Air Lines Inc.
418	COB	Cotton Belt Aviation Inc.
419	COC	Cochise Airlines Inc.
420	COK	Coker Aviation Inc.
421	COL	Presidential Express
422	COM	Commutair
423	COR	Coral Air Inc.
424	COS	Cosmopolitan Comm. Airline
425	COT	Southeastern Commuter
426	COU	Courtesy Air Service Inc.
427	CP	Compass Airlines
428	CP (1)	Canadian Airlines International Ltd.
429	CPA	Capitol Air Lines
430	CPC	Coastal Plains Commuter Inc.
431	CPQ	Capitol Air Express Inc.
432	CPT	Capitol Air
433	CQI	Conquest Airline Corp.
434	CRA	Commuter Airlines
435	CRB	Caribair
436	CRE	Caribbean Express Inc.
437	CRH	Cresent Medivac
438	CRN	Crown Aviaiton Inc.
439	CRO	Crown Airways Inc.
440	CRP	Corporate Air
441	CRT	Crested Butte Air Service
442	CRV	Acropolis Aviation Ltd.
443	CS	Continental Micronesia
444	CSA	Casino Airlines
445	CSK	Catskill Airways Inc.
446	CSL	Central States Air Lines
447	CSM	Chisum Flying Service
448	CSN	Casino Airlines (1)
449	CSQ	Celtic Tech Jet Ltd.
450	CTA	Century Airlines
451	CTH	Cothron Aviation
452	CTL	Coastal Air Transport
453	CTQ	Custom Air Transport
454	CTR	Chartair
455	CUQ	Caicos Caribbean Airways
456	CUS	Custom Air Service
457	CV	Cargolux Airlines International S.A
458	CVA	Catalina-Vegas Airlines
459	CVQ	Caraven S.A.
460	CW	Air Marshall Islands Inc.
461	CWQ	Canadian Aviation Express
462	CX	Cathay Pacific Airways Ltd.
463	CYQ	Corse Air International
464	CZ	China Southern Airlines
465	CZ (1)	Cascade Airways Inc.
466	CZQ	Aviation Concepts
467	DA	Dan Air Services
468	DAN	Danbury Airlines
469	DAU	Dauphin Island Airways
470	DC	Caribbean Air Cargo Co Ltd.
471	DE	Condor Flugdienst
472	DEA	Downeast Airlines Inc.
473	DEC	Decatur Aviation
474	DFS	Downeast Flying Service
475	DH	Independence Air
476	DH (1)	Discovery Airways Inc.
477	DHL	DHL Airlines Inc.
478	DHQ	DHL Aero Expresso
479	DIA	Drummond Island Air
480	DIC	Dickman Aviation Services
481	DIR	Northern Star
482	DL	Delta Air Lines Inc.
483	DM	Maersk Air I/S
484	DO	Compania Dominicana De Avia
485	DOL	Dolphin Airways Inc.
486	DOQ	Aerolineas Dominicanas S A
487	DPA	Desert Pacific Airways
488	DPI	Desert Pacific Airlines Inc.
489	DQQ	Caribwest Airways Ltd.
490	DSA	Desert Sun Airlines
491	DST	Desert Airlines
492	DUL	Dulles Express
493	DUZ	Summit Airlines Inc.
494	DVO	Devoe Airlines
495	DWN	Dawn Air
496	DXA	Dolphin Express
497	DY	Norwegian Air Shuttle ASA
498	E0	EOS Airlines, Inc.
499	E7	Estafeta Carga Aereas
500	E72	European Aviation Air Charter
501	E8	USAfrica Airways Inc.
502	E9	Boston-Maine Airways
503	EA	Eastern Air Lines Inc.
504	EAI	Executive Aviation Inc.
505	EAQ	Executive Airlines, SL
506	EAS	Eastern Caribbean Airways
507	EAT	Eastman Airways Inc.
508	EBQ	Execaire Aviation Ltd.
509	ECA	Eagle Airlines (1)
510	ECI	Eastern Carolina Aviation
511	ECL	Eclipse Airlines
512	ECQ	Trans American Charter
513	ECR	East Coast Airways
514	ED	Andes
515	EDE	Ede Aire
516	EET	Exec Express II
517	EEX	Exec Express
518	EEZ	Eagle Aviation Inc.
519	EFA	Executive Four Winds
520	EFQ	Trans Europ. Airways France
521	EGA	Eagle Airline
522	EGJ	Eagle Jet Charter
523	EGL	Eagle Commuter Airlines Inc.
524	EH	Saeta Airlines
525	EHA	East Hampton Aire Inc.
526	EI	Aer Lingus Plc
527	EIA	East. Indiana Aviation Sale
528	EJQ	Aeroejecutivos C.A.
529	EK	Emirates
530	EKA	Air Pacific Inc.
531	ELL	Ellis Air Taxi Inc.
532	EM	Empire Airlines Inc.
533	EMA	Emerald Airlines
534	EME	Metro Express
535	EMP	Empire Airlines Inc. (2)
536	ENT	Enterprise Airlines Inc.
537	EOQ	Aeroservicios Ecuatorianos
538	EP	All Star Airlines Inc.
539	EQ	Tame Linea Aerea del Ecuador Tme EP
540	ER	Astar USA, LLC
541	ERI	Erie Airways Inc.
542	ERO	Empire Aero Service
543	ERQ	Aero Trades (Western) Ltd.
544	ESQ	Seagreen Air Transport
545	ET	Ethiopian Airlines
546	EU	Ecuatoriana De Aviacion
547	EUQ	Air Atlanta Europe
548	EV	ExpressJet Airlines Inc.
549	EVA	Evanston Aviation
550	EWA	Rio Grande Air
551	EXA	Columbia Pacific Airlines (1)
552	EXC	Hapag-Lloyd Executive GmbH
553	EXC (1)	Executive Charter
554	EXP	Express Airlines II
555	EXQ	Export Air Del Peru S.A.
556	EXR	Executive Transport
557	EY	Etihad Airways
558	EZ	Evergreen International Inc.
559	F2	Omega Air Holdings d/b/a Focus Air
560	F8	Freedom Airlines d/b/a HP Expr
561	F9	Frontier Airlines Inc.
562	FAA	Falwell Aviation Inc.
563	FAC	Falcon Airways Inc.
564	FAQ	Fast Air Carrier Ltd. (1)
565	FAR	Federal Armored Service Inc.
566	FB	Translift Airways Limited
567	FBI	Young Flying Service
568	FCA	Southern Airlines Inc.
569	FCQ	Falcon Air Express
570	FD	Air Puerto Rico Airlines
571	FDA	Florida Airlines Inc.
572	FDM	Freedom Airlines Inc.
573	FDQ	Great American Airways
574	FE	Primaris Airlines Inc.
575	FF	Tower Air Inc.
576	FFQ	Five Star Airlines
577	FH	Frontier Horizon Inc.
578	FI	Icelandair
579	FJ	Air Pacific Ltd.
580	FJ (1)	Air Pacific Ltd. (1)
581	FL	AirTran Airways Corporation
582	FL (1)	Frontier Airlines Inc. (1)
583	FLA	Florida Air
584	FLM	Flamenco Airways Inc.
585	FLR	Flirite Inc.
586	FNQ	Fine Airlines Inc.
587	FOR	Ford-Aire Inc.
588	FOS	Foster Aviation
589	FP	TAG Aviation S.A.
590	FQ	Air Aruba
591	FRA	Freedom Air
592	FRS	Four Star Aviation
593	FRT	Frontier Commuter
594	FRW	Farwest Airlines
595	FS	Serv De Trans Aereos Fuegui
596	FSA	F.S. Air Service
597	FT	Flying Tiger Line Inc.
598	FTI	Southern Airways
599	FVA	Skycraft Inc.
600	FW	Skybus Inc.
601	FWA	Far West Airlines
602	FX	Federal Express Corporation
603	FYB	Flying Boat
604	G3	Aerochago S.A.
605	G4	Allegiant Air
606	G7	GoJet Airlines, LLC d/b/a United Express
607	GA	P.T. Garuda Indonesian Arwy
608	GAL	Galena Air Service
609	GAQ	Galaxy Airlines Inc.
610	GAS	General Aviation Inc.
611	GAT	Gulf Air Taxi
612	GAV	Gromer Aviation Inc.
613	GBA	Central States Airline
614	GBQ	G5 Executive Ag
615	GCA	Golden Carriage Aire
616	GCH	Grand Canyon Helicopters
617	GCQ	General Air Cargo
618	GCS	Midway Commuter
619	GD	Transp. Aereos Ejecutivos
620	GDW	Golden West Airlines Inc.
621	GE	Lufthansa Cargo Airlines
622	GF	Gulf Air Company
623	GF (1)	Gulf Air Transport Inc.
624	GFC	Gulf Flite Center
625	GFQ	Gulf And Caribbean Cargo
626	GG	Cargo 360, Inc.
