ID	CODE	NAME
814	LAS	Lake Union Air Service
815	LAW	Lawrence Aviation
816	LB	Lloyd Aereo Boliviano S. A.
817	LBQ	Millon Air Inc.
818	LC	Varig Logistica S/A
819	LC (1)	Lineas Aereas Del Caribe
820	LC (2)	Legend Airlines
821	LCQ	Latcr
822	LCT	Lake Coastal
823	LEQ	Le Point Air
824	LEX	L'Express
825	LF	Jettrain Airlines
826	LG	Luxair
827	LGQ	Lineas Aereas Allegro
828	LH	Lufthansa German Airlines
829	LHA	Havasu Airlines
830	LIQ	Liat (1974) Limited
831	LJ	Jin Air Co Ltd.
832	LKN	Loken Aviation
833	LLA	Lakeland Aviation
834	LNQ	Aerolineas Latinas
835	LO	Polskie Linie Lotnicze
836	LOQ	Lorair Ltd.
837	LOS	Aero Commuter
838	LP	Lan Peru Airlines
839	LP (1)	The Hawaii Express Inc.
840	LR	Lacsa
841	LRQ	Air Liberte
842	LSQ	Lineas Aereas Suramerican
843	LSZ	Alaska Island Air Inc.
844	LT	Luftransport-Unternehmen
845	LU	Air Atlantic Dominicana
846	LUQ	Lineas Aereas La-Tur Sa
847	LVA	Las Vegas Airlines
848	LW	Pacific Wings Airlines
849	LX	Swiss International Airlines
850	LXQ	Translux Intl Airlines
851	LY	El Al Israel Airlines Ltd.
852	LZ	Balkan Bulgarian Airlines
853	LZQ	Leisure International Airways Ltd.
854	M3	ABSA-Aerolinhas Brasileiras
855	M6	Amerijet International
856	M7	Aerotransportes Mas De Crga
857	MA	Malev Hungarian Airlines
858	MAA	Maui Airlines
859	MAC	Mackey International Inc.
860	MAE	Mid-Atlantic Exp. Airlines
861	MAG	Magum Airlines
862	MAI	The Maui Commuter
863	MAQ	Millardair Limited
864	MAR	Marshall's Air Inc.
865	MAV	Maverick Airways
866	MAX	Maxair Inc.
867	MB	Samoa Airlines Inc.
868	MC	Transtar Airlines Corp.
869	MCO	Mid Continental Airlines In
870	MDC	Midcontinent Airlines
871	MDU	Metro Airlines
872	ME	Middle East Airlines S.A.L.
873	MEA	Manhattan Express
874	MET	Metroplex Airlines
875	MEX	Metro Express 11
876	MG	Champion Air
877	MGQ	Montana Austria Flugetrieb
878	MH	Malaysian Airline System
879	MHK	Mohawk Airlines
880	MHO	Mahalo Air
881	MIN	Minuteman Aviation Inc.
882	MIS	Midstate Airlines Inc.
883	MIY	Midway Aviation Inc.
884	MJ	Lapa-Lineas Aereas Privadas
885	MKQ	Airmark Corporation
886	ML	Aero Costa Rica
887	ML (1)	Midway Airlines Inc. (1)
888	MLL	Miller Air Transportersinc
889	MLX	Merlin Express
890	MM	Euro Atlantic Airways
891	MM (1)	Sociedad Aeronautica De Med
892	MMH	Ocean Airways Inc.
893	MNA	M & N Aviation
894	MNZ	Cumberland Airlines
895	MOQ	Morningstar Air Express
896	MP	Martinair Holland N.V.
897	MPA	Mid Pacific Airlines Inc.
898	MPC	Mid Pacific Air Corp.
899	MQ	American Eagle Airlines Inc.
900	MRC	Marco Island Airways Inc.
901	MRQ	National Air Cargo Group, Inc. d/b/a Murray Air
902	MRR	Merrimack Aviation Inc.
903	MS	Egyptair
904	MST	Midwest Aviation
905	MT	Thomas Cook Airlines Uk Ltd.
906	MT (1)	Flying Colours Airlines Ltd.
907	MTA	Arkansas Traveler Airline
908	MTR	Metroflight Airlines
909	MTV	Mst Aviation
910	MTX	Mountain Air Express
911	MU	China Eastern Airlines
912	MU (1)	Mcclain Airlines Inc.
913	MUA	Manu'a Air Transport
914	MUQ	Aerolineas Mundo
915	MVA	Mississippi Valley Airlines
916	MWA	Mountain West Airlines
917	MX	Compania Mexicana De Aviaci
918	MY	MAXjet
919	MYQ	Lineas Aereas Mayas (Lamsa)
920	MZ	P.N. Merpati Nusantara Air.
921	N5	Skagway Air Service
922	N5 (1)	Nations Air Express Inc.
923	N6	Aero Continente
924	N7	National Airlines
925	NA	North American Airlines
926	NAC	National Air Commuter Inc.
927	NAP	Npa Inc.
928	NAQ	Nationair
929	NAS	Nasville Eagle
930	NAT	National Air
931	NB	Sterling Cargo
932	NBQ	Sterling Airways A/S
933	NC	Northern Air Cargo Inc.
934	NCA	National Commuter Airlines
935	NCE	Northcoast Executive
936	ND	Intair
937	NEB	New Born Wings Inc.
938	NEC	Nor East Commuter Airlines
939	NEQ	North East Cargo Airlines
940	NER	Northeast Express Regional (1)
941	NET	Nacnet
942	NEV	Nevada Airlines
943	NEW	New England Airlines Inc.
944	NEX	Northeast Express Regional
945	NFA	National Florida Airlines
946	NFQ	North Cariboo Flying Serv.
947	NG	Lauda Air Luftfahrt Ag
948	NGL	Northern Eagle Airways Inc.
949	NH	All Nippon Airways Co.
950	NHA	Newair Flight Inc.
951	NI	Lanica
952	NI (1)	American International Airways Inc.
953	NJ	Vanguard Airlines Inc.
954	NJA	N. J. Merrimack Airlines
955	NJE	NetJets Transportes Aereos, S.A.
956	NK	Spirit Air Lines
957	NKQ	Norcanair
958	NLQ	Nolinor Aviation
959	NN	Northward Airlines Ltd.
960	NOQ	Novair Airlines Ab
961	NPA	North Pacific Airlines Inc.
962	NPT	E. J. A. Newport Inc.
963	NQ	Air Japan Co
964	NRN	Northern Airlines Inc.
965	NSQ	North Coast Air Services
966	NTH	Northaire
967	NTQ	National Aviation Consult.
968	NUM	Lake State Airways
969	NUQ	Air Niugini
970	NVQ	Novair International Airways Ltd.
971	NVX	Nevis Express
972	NW	Northwest Airlines Inc.
973	NWQ	N. W. Territorial Airways
974	NWS	Northwest Seaplanes
975	NXQ	North Vancouver Air
976	NY	New York Air Inc.
977	NYH	New York Helicopter Corp.
978	NZ	Air New Zealand
979	OA	Olympic Airways
980	OAK	Harbor Airlines Inc.
981	OB	Oasis International Airlines S.A.
982	OC	Air California Inc.
983	OCR	Ocean Reef Airways Inc.
984	OD	Emerald Airlines Inc.
985	OD (1)	Aerocondor
986	OE	Westair Airlines Inc.
987	OF	Air Finland Ltd.
988	OFF	Offshore Logistics
989	OH	Comair Inc.
990	OHA	Omaha Aviation
991	OHZ	Caribbean Air Services Inc.
992	OI	Prestige Airways
993	OIZ	Corporate Air Inc.
994	OJ	Fly Jamaica Airways Limited
995	OK	Czech Airlines
996	OMH	Omniflight Helicopters
997	OMI	Omniflight Airways
998	OMK	Omak Aviation Airlines
999	OMN	Omni Pacific Airline
1000	OMQ	Quassar De Mexico
1001	ON	Air Nauru
1002	ONQ	Nunasi-Central Airlines Ltd.
1003	OO	SkyWest Airlines Inc.
1004	OOZ	Sun Aire Lines
1005	OP	Flying Boat Inc.
1006	OP (1)	Air Panama Internacional
1007	OPQ	Orion Air
1008	OR	TUI Airlines Nederland B.V.
1009	ORI	Orion Air Inc.
1010	OS	Austrian Airlines
1011	OTT	Otter Air
1012	OV	Aeromaritime
1013	OW	Executive Airlines
1014	OWQ	Ontario Worldair Limited
1015	OWS	Air Kentucky Air Lines
1016	OZ	Asiana Airlines Inc.
1017	OZ (1)	Ozark Air Lines Inc. (1)
1018	OZA	Ozark Air Lines Inc.
1019	P9	Pro Air Inc.
1020	PA	Florida Coastal Airlines
1021	PA (1)	Pan American World Airways (1)
1022	PA (2)	Pan American World Airways
1023	PAI	Permian Airways Inc.
1024	PAQ	Patriot Airlines Inc.
1025	PAT	Panorama Air Tours
1026	PBA	Provincetown Boston
1027	PBQ	Privatair
1028	PCA	Piasa Commuter Airlines
1029	PCL	Pacific Cal Air
1030	PCQ	Pace Airlines
1031	PCR	Pacair
1032	PD	Porter Airlines, Inc.
1033	PD (1)	Pem-Air Limited
1034	PDA	Trans Southern Airways
1035	PDQ	Antigua Paradise Airways
1036	PE	Air Europe S.P.A.
1037	PE (1)	People Express Airlines Inc.
1038	PEA	Pearson Aircraft
1039	PEQ	SkyLink Express Inc.
1040	PER	Air Pennsylvania
1041	PET	Petro Aviation Corp.
1042	PFA	Pacificair
1043	PFQ	Asia Pacific
1044	PH	Polynesian Airlines Ltd.
1045	PHL	Phillips Airlines
1046	PHR	Pinehurst Airlines Inc.
1047	PHX	Phoenix Airlines
1048	PI	Piedmont Aviation Inc.
1049	PIA	Pacific Island Airways
1050	PIQ	Pacific International Airlines
1051	PK	Pakistan International Airlines
1052	PKQ	Skyworld Airlines Inc.
1053	PL	Aero Peru
1054	PLA	Planes Inc.
1055	PLQ	Planet Airways
1056	PLZ	Polar Airways Inc.
1057	PM	Prescott Support Company, Inc.
1058	PMA	Pacific Missionary Aviation
1059	PMT	Pilgrim Aviation & Airlines
1060	PN	Pan American Airways Corp.
1061	PNM	Panama Aviation
1062	PNQ	Panagra Airways
1063	PNR	Pioneer Airways
1064	PNS	Pine State Airlines
1065	PO	Polar Air Cargo Airways
1066	POA	Potomac Air
1067	POC	Pocono Airlines Inc.
1068	POL	Polar International
1069	POM	Pompano Airways
1070	PON	Ponderosa Aviation Inc.
1071	POQ	Polyot Airlines
1072	PP	Jet Aviation Business Jets AG
1073	PPQ	Propair
1074	PR	Philippine Airlines Inc.
1075	PRA	Princeton Aviation Corp
1076	PRD	Paradise Island Airlines
1077	PRM	Prime Air Inc.
1078	PRN	Puerto Rico Intl Airlines
1079	PRO	Sundance Airlines
1080	PRP	Propheter Aviation
1081	PRQ	Florida West Airlines Inc.
1082	PRR	Pro Air Services
1083	PS	Pacific Southwest Airlines
1084	PSA	P.S. Air Freight Inc.
1085	PT	Capital Cargo International
1086	PTQ	Flight International
1087	PU	Primeras Lineas Uruguays For International
1088	PUQ	Aeropuma
1089	PV	Eastern Provincial Airways
1090	PVA	Precision Valley Aviation
1091	PW	Pacific Western Airlines
1092	PY	Surinam Airways Limited
1093	PZ	Lineas Aereas Paraguayas
1094	Q2	Zambia Airways Corp.
1095	Q4	Master Top Linhas Aereas, Ltda.
1096	Q5	40-Mile Air
1097	Q7	Sobelair
1098	QB	Inter-Quebec (Intair)
1099	QD	Grand Airways Inc.
1100	QF	Qantas Airways Ltd.
1101	QG	Sky West Aviation Inc.
1102	QH	Air Florida Inc.
1103	QK	Jazz Aviation LP
1104	QN	Royal Air
1105	QO	Aeromexpress
1106	QOZ	Bar Harbor Airways
1107	QQ	Reno Air Inc.
1108	QR	Qatar Airways (Q.C.S.C)
1109	QS	Travel Service, a.s.
1110	QS (1)	Northeastern International Airways
1111	QT	Transportes Aereos Mercantiles Panamericanos S.A
1112	QTQ	Aer Turas Teoranta
1113	QWE	Qwest Commuter
1114	QX	Horizon Air
1115	R3	Air Company Yakutia
1116	RAL	Royal-Air Ltd.
1117	RAN	Pan Am Express
1118	RAQ	Arista International Airlines Inc.
1119	RAY	Royale Airlines Inc.
1120	RB	Syrian Arab Airlines
1121	RC	Republic Airlines Inc.
1122	RCA	Mid-South Aviation Inc. (1)
1123	RD	Ryan International Airlines
1124	RD (1)	Airlift International Inc.
1125	RDR	Rader Aviation
1126	RDW	Redwing Airways
1127	REA	Realwest Airlines
1128	RED	Aerosun International Airlines Inc.
1129	REQ	Renown Aviation
1130	RES	Resort Airlines Inc.
1131	RG	Varig S. A.
1132	RGQ	Regency Air
1133	RHA	Royal Hawaiian Airways Inc.
1134	RIA	Trump Air
1135	RIC	Richardson Aviation
1136	RID	Indiana Airways Inc. (Reid
1137	RIO	Rio Airways Inc.
1138	RIQ	Rich International Airways
1139	RIV	Riverside Air Service
1140	RJ	Alia-(The) Royal Jordanian
1141	RJS	Michigan Airways Inc.
1142	RK	Air Afrique
1143	RL	UltrAir
1144	RL (1)	Aerolineas Nicaraguenses
1145	RLQ	Reliant Airlines
1146	RMH	Rocky Mountain Helicopters
1147	RMV	Ram Aviation
1148	RNQ	Mytravel Airways
1149	RO	Tarom Romanian Air Transpor
1150	ROA	Royal West Airways Inc.
1151	ROE	Roederer Aviation Inc.
1152	ROQ	Aero Uruguay (1)
1153	ROS	Great Western Airlines Inc.
1154	ROY	Royal American Airways Inc.
1155	RP	Chautauqua Airlines Inc.
1156	RRT	Air Freight Express
1157	RSC	Resort Commuter
1158	RSQ	Aerotransportes Entre Rios
1159	RSV	Air-Serve
1160	RTQ	Aerotour Dominicano Cxa
1161	RU	AirBridgeCargo Airlines Limited
1162	RV	Reeve Aleutian Airways Inc.
1163	RVA	Reeves Air
1164	RVQ	Reeve Air Alaska, LLC
1165	RWG	Air Rovers Inc.
1166	RY	Redcoat Air Cargo Limited
1167	RZZ	Aeromech Inc.
1168	S3	Santa Barbara Airlines, C.A
1169	S4	Sata Internacional
1170	S5	Shuttle America Corp.
1171	S6	Star Air A/S
1172	S6 (1)	Mountain Bird/Salmon Air
1173	SA	South African Airways
1174	SAC	Sundorph Aeronautical Corp.
1175	SAH	Sea Air Shuttle
1176	SAI	Seair Alaska Airlines Inc.
1177	SAJ	Sajen Air Inc.
1178	SAL	Sallee's Aviation
1179	SAM	Samoan Airlines Inc.
1180	SAQ	Southern Air Transport Inc.
1181	SAS	Air Cortez International
1182	SAX	Air Americana
1183	SBA	Saber Aviation Inc.
1184	SBN	Suburban Airlines
1185	SBQ	Skyjet S.A.
1186	SCN	Scott Aviation
1187	SCO	Seaco Airlines Inc.
1188	SCT	Skyline Airlines
1189	SCY	South Coast Airways
1190	SDQ	St. Lucia Airways Limited
1191	SE	XL Airways France
1192	SE (1)	Das Air Cargo
1193	SEB	Seaborne Aviation
1194	SEG	Seagull Air Service
1195	SEM	Semo Aviation Inc.
1196	SEP	Southern Express Airways
1197	SEQ	Sky Service F.B.O.
1198	SER	Service Aviation Inc.
1199	SFI	Stahmannfarms Inc.
1200	SFO	Sfo Helicopter Airlines Inc.
1201	SFQ	Pacific International Airlines Inc.
1202	SFQ (1)	Southern Frontier Air Trans
1203	SFS	Sierra Flite Service Inc.
1204	SG	Jetsgo
1205	SH	Servicio Aereo De Honduras
1206	SHS	Shasta Air Inc.
1207	SHV	Shavano Air Inc.
1208	SI	Sierra Pacific Airlines
1209	SI (1)	Jet America Airlines Inc.
1210	SIA	Silver State Airlines
1211	SIQ	Premiair
1212	SIQ (1)	Scanair
1213	SJA	San Juan Airlines Inc.
1214	SJQ	Skycharter (Malton) Ltd.
1215	SK	Scandinavian Airlines Sys.
1216	SKI	Sunbird Inc.
1217	SKJ	Sky-Jet
1218	SKL	Bas Airlines
1219	SKM	Scheduled Skyways
1220	SKS	Silver Kris Services Ltd.
1221	SKT	Skytrain
1222	SLO	Slocum Air Inc.
1223	SLQ	Sky King Inc.
1224	SLR	Salair
1225	SLZ	Southeast Airlines Inc.
1226	SM	Sunworld International Airlines
1227	SMC	Stopher Mechanical Inc.
1228	SMO	Samoa Aviation Inc.
1229	SMQ	Serv. Aerolineas Mexicanas
1230	SN	Brussels Airlines N.V.
1231	SN (1)	Sabena Belgian World Air.
1232	SNA	Aviation Associates
1233	SNB	Ccair
1234	SNC	Gelco Courier Services Inc.
1235	SNE	Shawnee Airlines
1236	SNK	Spernak Airways Inc.
1237	SNV	Sierra Nevada Airways
1238	SO	Swiss World Airways
1239	SOA	Mall Airways Inc.
1240	SOE	Sky One Express
1241	SOL	Soonair Lines Inc.
1242	SOP	South Pacific Island Airway
1243	SPF	Springfield Air Service
1244	SPG	Springdale Air
1245	SPH	Spirit Helicopter
1246	SPQ	Sun Pacific International
1247	SPR	Sportsman Flying Service
1248	SQ	Singapore Airlines Ltd.
1249	SR	Swissair Transport Co. Ltd.
1250	SRA	Star Aviation
1251	SRL	Sterling Air Service
1252	SS	Corsair International
1253	SSA	S. S. Airways Inc.
1254	SSP	Southern Seaplane
1255	SSQ	Superior Airways Limited
1256	SSS	Sierra Express Inc.
1257	SST	Seaplane Shuttle Transport
1258	ST	Belize Airways Limited
1259	STA	State Airlines Inc.
1260	STF	Trans East International
1261	STG	Sedalia Marshall Boonvl Stg
1262	STQ	Skycraft Air Transport Inc.
1263	STR	Star Aviation Corporation
1264	STW	Stateswest Airlines
1265	STZ	Air America Inc.
1266	SU	Aeroflot Russian Airlines
1267	SUA	Sunshine Airlines
1268	SUI	Sun International Airways
1269	SUT	Sunbelt
1270	SUX	Sunair Express LLC
1271	SV	Saudi Arabian Airlines Corp
1272	SVL	Sun Valley Airlines
1273	SVW	Global Jet Luxembourg, Sa
1274	SWA	Sunwest Airlines
1275	SWT	Swift Aire Lines Inc.
1276	SX	Skybus Airlines, Inc.
1277	SX (1)	Aeroejecutivo S.A.
1278	SXP	Sierra Expressway
1279	SY	Sun Country Airlines d/b/a MN Airlines
1280	SYB	Skybus Express Airlines
1281	SYM	Skymaster
1282	SZQ	Aerolineas El Salvador S A
1283	T3	Tristar Airlines Inc.
1284	T9	TransMeridian Airlines
1285	TA	Taca International Airlines
1286	TAC	Air Colorado
1287	TAF	Tri Air Freight
1288	TAL	Tejas Airlines Inc.
1289	TAQ	Taquan Air Service
1290	TAS	Yosemite Airlines Inc.
1291	TAT	Talarik Creek Air Taxi
1292	TB	TUI Airlines Belgium N.V. d/b/a Jetairfly
1293	TB (1)	USAir Shuttle
1294	TBQ	Triair Bermuda Flt Operations
1295	TCA	Trans Catalina Airlines
1296	TCE	Oceanair Line
1297	TCI	Trans California Airlines
1298	TCL	Trans-Central Airlines Inc.
1299	TCO	Trans-Colorado Airlines
1300	TCQ	Express.Net Airlines
1301	TDQ	Venexcargo
1302	TDQ (1)	Transcarga
1303	TEN	Tennessee Airways Inc.
1304	TER	Terre Haute Air Commuter
1305	TFQ	Trans International Airlines Inc.
1306	TFZ	Tri-State Airlines Inc.
1307	TG	Thai Airways International Ltd.
1308	TGO	Trans Air Cargo Inc.
1309	TGQ	Tranps Aereos Guatemaltecos
1310	TH	Transmile Air Service
1311	THA	Tropical Helicopter Airways
1312	THO	Thorson Aviation
1313	THQ	T-Bird Air Inc.
1314	TIA	Trans Air Inc.
1315	TIE	Trans International Express
1316	TIQ	Tyrolean Jet Service
1317	TIS	Skyfreight
1318	TJ	Jet Charter Service Inc.
1319	TK	Turk Hava Yollari A.O.
1320	TKQ	Trans-Air-Link Corporation
1321	TLQ	Trans-Mediterranean Airways
1322	TMA	Trans Mo Airlines
1323	TN	Air Tahiti Nui
1324	TNQ	Emery Worldwide Airlines
1325	TNS	Transtate Aviation
1326	TP	Tap-Portuguese Airlines
1327	TPQ	Aerial Transit Company
1328	TQQ	Taca Peru
1329	TR	Transbrasil S.A.
1330	TRA	Aeromexico Travel
1331	TRI	Great Plains Airlines Inc.
1332	TRO	Air Molakai
1333	TRP	Trans Pennsylvania Airlines
1334	TRQ	Blue Scandinavia Ab
1335	TRR	Territorial Airlines
1336	TS	Air Transat
1337	TSF	American Central Airlines
1338	TSI	Trans Sierra Airlines Inc.
1339	TSQ	TPI International Airways
1340	TTM	The Time Machine
1341	TUL	Tulsair Beechcraft Inc.
1342	TUR	Turner Aire
1343	TV	Haiti Trans Air
1344	TV (1)	Transamerica Airlines Inc.
1345	TVL	Travelair
1346	TW	Trans World Airways LLC
1347	TWA	Trans Western Airlines Utah
1348	TWE	Trans World Express
1349	TX	Soc.Nouvelle Air Guadeloupe
1350	TX (1)	Transportes Aereos Nacional
1351	TXA	Texas National Airlines
1352	TXE	Trans Air (Hawaii)
1353	TXQ	British Caribbean Airways
1354	TXY	Texas Airways
1355	TYE	Temsco Airlines
1356	TZ	ATA Airlines d/b/a ATA
1357	TZQ	First Choice Airways
1358	U2	UFS Inc.
1359	U5	USA 3000 Airlines
1360	U7	USA Jet Airlines Inc.
1361	UA	United Air Lines Inc.
1362	UAI	Universal Airways Inc.
1363	UC	Ladeco
1364	UD	Fast Air Carrier Ltd.
1365	UH	US Helicopter Corporation
1366	UMQ	Air Manila Inc.
1367	UN	Transaero Airlines
1368	UNQ	Overseas National Airways
1369	UP	Bahamasair Holding Limited
1370	UR	Empire Airlines Inc. (1)
1371	URQ	Aero Uruguay
1372	US	US Airways Inc. (Merged with America West 9/05. Reporting for both starting 10/07.)
1373	USA	Air U.S.
1374	UT	Union De Transports Aeriens
1375	UTQ	Universal Airlines Inc.
1376	UX	Air Europa
1377	UX (1)	Air Illinois Inc.
1378	UYQ	Aerolineas Uruguayas S.A.
1379	V4	Vensecar International
1380	V5	J.D.Valenciana De Aviation
1381	V8	Iliamna Air Taxi
1382	V9	Eagle Airlines
1383	VA	Virgin Blue International Airlines t/a V Australia
1384	VA (1)	Venezuelan International Airways
1385	VAG	Vagabond Aviation Inc.
1386	VAQ	Vacationair
1387	VAS	Valley Air Services
1388	VB	Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus
1389	VB (1)	Pacific Express
1390	VC	Servicios Avensa
1391	VCQ	Victory Air Transport Inc.
1392	VE	Aerovias Venezolanas-Avensa
1393	VER	Britt Airlines Inc.
1394	VEZ	Valdez Airlines
1395	VH	Aeropostal Alas De Venezuel
1396	VI	Vieques Air Link Inc.
1397	VIG	Viking Express
1398	VIN	Vale International Airlines
1399	VIQ	Volga-Dnepr Airlines
1400	VIQ (1)	Viscount Air Service Inc.
1401	VIS	Virgin Islands Seaplane
1402	VJT	VistaJet Limited
1403	VK	Air Tungaru Corporation
1404	VL	Mid-South Aviation Inc.
1405	VLA	Village Aviation
1406	VLY	Valley Airlines
1407	VOQ	Avalon Aviation Ltd.
1408	VP	Viacao Aerea Sao Paulo
1409	VQ	Vintage Props & Jets Inc.
1410	VR	Transportes Aereos De Cabo
1411	VS	Virgin Atlantic Airways
1412	VSA	VistaJet Luftfahrtunternehmen GmbH
1413	VV	Aerosvit Ukranian Airlines
1414	VV (1)	Challenge Air Transport Inc.
1415	VV (2)	Challenge Air International Inc.
1416	VW	Transportes Aeromar S.A de C.V
1417	VX	Virgin America
1418	VX (1)	Aces Airlines
1419	VY	Highland Express Airways
1420	W3	Arik Air International
1421	W4	Mn Aviation, Inc.
1422	W7	Western Pacific Airlines
1423	W8	Cargojet Airways Ltd.
1424	W9	Eastwind Airlines Inc.
1425	WA	Worldwide Airlines Services
1426	WA (1)	Western Air Lines Inc.
1427	WAC	Air East Airlines
1428	WAI	Wise Airlines Inc.
1429	WAP	Arrow Panama
1430	WAQ	Air Charter Systems (Acs)
1431	WAR	Waring Air
1432	WAW	Westward Airways Inc.
1433	WC	Wien Air Alaska Inc.
1434	WCA	Walker's International
1435	WCI	Mountainwest Airlines
1436	WD	Halisa Air
1437	WDQ	Wardair Canada Inc.
1438	WE	Centurion Cargo Inc.
1439	WEB	Southeast Alaska Airlines
1440	WEQ	Aero-Services-Corporate
1441	WES	Western Star Airlines Inc.
1442	WET	Western Charter Inc.
1443	WFS	Wheeler Airlines
1444	WFT	Westflight Aviation
1445	WG	Sunwing Airlines Inc.
1446	WGL	Wrangell Air Service
1447	WGQ	Gateway Aviation Limited
1448	WI	Tradewinds Airlines
1449	WIA	Wisc Air
1450	WIL	Will's Air
1451	WIR	Williams Air Inc.
1452	WL	World Air Network
1453	WLH	Welch Aviation
1454	WLQ	Worldwide Airlines Inc.
1455	WM	Windward Islands Airways
1456	WN	Southwest Airlines Co.
1457	WNG	Wings Airways
1458	WNQ	Winair Inc.
1459	WO	World Airways Inc.
1460	WP	Island Air Hawaii
1461	WRA	Wra Inc.
1462	WRD	Ward Air
1463	WRT	Wright Airlines Inc.
1464	WS	Westjet
1465	WS (1)	Suncoast Airlines Inc.
1466	WSK	AAR Western Skyways
1467	WST	West Isle Air
1468	WSU	Mission Air
1469	WT	Nigeria Airways Ltd.
1470	WTA	Westates Airlines
1471	WV	Air Greco, Inc., d/b/a Wings Air
1472	WV (1)	Air South Inc. (1)
1473	WWI	Wings West Airlines
1474	WWQ	Worldways Canada Ltd.
1475	X4	Air Excursions LLC
1476	X9	Omni Air Express
1477	XAA	Aero Union Corp
1478	XAB	Air Polynesia d/b/a DHL Cargo
1479	XAC	Air Express International Airlines
1480	XAE	Amerford Airways Inc.
1481	XAF	Astro-Wing Airlines Inc.
1482	XAG	Ball Brothers Inc.
1483	XAH	Hawaii Pacific Air
1484	XAI	Burlington Northern Inc.
1485	XAJ	Central American International
1486	XAK	Century Airlines Inc.
1487	XAM	Cohlmia Aviation
1488	XAO	Dallas Flight Center
1489	XAQ	Cam Air International Inc.
1490	XAR	Jet Way Inc.
1491	XAS	Klondike Air Inc.
1492	XAT	Michigan Peninsula Airways
1493	XAU	Flight Line Inc.
1494	XAY	Pat Air
1495	XAZ	Purolator Sky Courier Inc.
1496	XBC	Jet East Inc.
1497	XBF	WTC Airlines
1498	XBH	Profit Airlines Inc.
1499	XBI	CF Air Freight
1500	XBJ	International Air Service
1501	XBM	Phh Air Inc.
1502	XBP	Circle Airfreight Corp.
1503	XBQ	Aeronaves De Puerto Rico
1504	XBR	Allstates Air Cargo Inc.
1505	XBT	Pacific Alaska Airlines Inc.
1506	XBV	Nal Inc.
1507	XBX	Icb International Airlines
1508	XBZ	Air Natl Aircraft Sal & Ser
1509	XC	Air Caribbean (1)
1510	XCA	Hawkins And Powers Aviation
1511	XDA	Pacific Air Express Inc.
1512	XDC	Hemisphere Air Charter
1513	XDD	International Parcel Express Inc.
1514	XDE	Air Train Inc.
1515	XDF	Salair Inc.
1516	XDH	Kitty Hawk Air Cargo
1517	XE	ExpressJet Airlines Inc. (1)
1518	XF	Vladivostok Air
1519	XJ	Mesaba Airlines
1520	XK	Aerotal
1521	XL	Lan Ecuador
1522	XP	Casino Express
1523	XPA	Express Air d/b/a Sunrise
1524	XPE	Amira Air GmbH
1525	XPQ	International Cargo Xpress
1526	XV	Presidential Airways Inc.
1527	XY	Munz Northern Airlines Inc.
1528	XYZ	Airpac Inc.
1529	Y2	Globespan Airways Limited d/b/a Flyglobespan
1530	Y4	Concesionaria Vuela Compania De Aviacion SA de CV (Volaris)
1531	Y7	Flyjet Limited d/b/a Silverjet
1532	Y8	Yangtze River Express Airlines Company
1533	YB	Trans Continental Airlines
1534	YBQ	Yellow Bird Air
1535	YM	Royal West Airlines
1536	YR	Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines
1537	YV	Mesa Airlines Inc.
1538	YX	Republic Airlines
1539	YX (1)	Midwest Airline, Inc.
1540	Z3	PM Air, LLC
1541	Z3 (1)	Promech
1542	ZA	Accessair Holdings
1543	ZAQ	Zas Airline Of Egypt
1544	ZB	Monarch Airlines
1545	ZE	Lineas Aereas Azteca
1546	ZFZ	Mcphillips Flying Service
1547	ZIA	Air New Mexico
1548	ZK	Great Lakes Airlines
1549	ZKQ	Zantop International
1550	ZL	Affretair
1551	ZMZ	Winnipesaukee Aviation Inc.
1552	ZN	Key Airlines Inc.
1553	ZO	Florida Express Inc.
1554	ZP	Air St. Thomas
1555	ZS	Hispaniola Airways
1556	ZUQ	Zuliana De Aviacion
1557	ZV	Air Midwest Inc.
1558	ZW	Air Wisconsin Airlines Corp
1559	ZX	Air Georgian
1560	ZX (1)	Airbc Ltd.
1561	ZY	Atlantic Gulf Airlines
1562	ZYZ	Skyway Aviation Inc.
